subject,blockcode,trialcode,trialnum,latency,response,values.imageName,stimulusitem1,stimulusnumber1,stimulusitem2,stimulusnumber2,stimulusitem3,stimulusnumber3,stimulusitem4,stimulusnumber4,stimulusitem5,stimulusnumber5,stimulusitem6,stimulusnumber6,stimulusitem7,stimulusnumber7,stimulusitem8,stimulusnumber8,stimulusitem9,stimulusnumber9,stimulusitem10,stimulusnumber10,stimulusitem11,stimulusnumber11,stimulusitem12,stimulusnumber12,stimulusitem13,stimulusnumber13,stimulusitem14,stimulusnumber14,stimulusitem15,stimulusnumber15,stimulusitem16,stimulusnumber16,stimulusitem17,stimulusnumber17,type
979079866,reminder_practice,reminder_practice,1,1061,reveal,placeholder_image,Click the center square to proceed to the PRACTICE trials,1,reveal.png,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266 masked
979079866,practiceBlock,practice,1,0,0,im0000003.jpg,+,1,im0000003.jpg,1,mask5.jpg,5,mask1.jpg,1,mask5.jpg,5,mask2.jpg,2,mask2.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266 masked
979079866,practiceBlock,centre_mouse,2,476,reveal,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 0 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,0,0,266 masked
979079866,practiceBlock,practice_trial,3,3365,no_3,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 1 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,people,5,266 masked
979079866,practiceBlock,centre_mouse,4,811,reveal,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 1 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,0,0,266 masked
979079866,practiceBlock,practice_trial,5,2532,yes_4,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 2 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,calm,6,266 masked
979079866,practiceBlock,centre_mouse,6,718,reveal,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 2 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,0,0,266 masked
979079866,practiceBlock,practice_trial,7,1511,yes_4,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 3 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,sky,2,266 masked
979079866,practiceBlock,centre_mouse,8,676,reveal,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 3 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,0,0,266 masked
979079866,practiceBlock,practice_trial,9,2335,no_4,im0000003.jpg,N_1.png,1,N_2.png,2,N_3.png,3,N_4.png,4,Y_1.png,1,Y_2.png,2,Y_3.png,3,Y_4.png,4,response_G.png,3,response_S.png,4,Word 4 of 6,1,Image 1 of 3,1,very_global.png,7,very_specific.png,6,less_global.png,9,less_specific.png,8,walk,4,266 masked
